device_id,video_url
"D81141237","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141237_2021-03-20_01-20-43.mp4"
"D81141243","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141243_2021-03-19_05-50-34.mp4"
"D81141255","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141255_2021-03-20_01-17-44.mp4"
"D81141257","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141257_2021-03-19_03-45-44.mp4"
"D81141259","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141259_2021-03-18_23-37-23.mp4"
"D81141264","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141264_2021-03-20_00-20-45.mp4"
"D81141265","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141265_2021-03-19_02-40-26.mp4"
"D81141266","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141266_2021-03-19_23-37-41.mp4"
"D81141269","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141269_2021-03-20_00-00-11.mp4"
"D81141271","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141271_2021-03-20_03-03-20.mp4"
"D81141290","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141290_2021-03-20_08-09-56.mp4"
"D81141303","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141303_2021-03-19_22-22-01.mp4"
"D81141315","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141315_2021-03-19_05-02-56.mp4"
"D81141334","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141334_2021-03-20_01-21-09.mp4"
"D81141354","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141354_2021-03-19_21-13-11.mp4"
"D81141359","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141359_2021-03-19_23-55-35.mp4"
"D81141369","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141369_2021-03-19_23-48-36.mp4"
"D81141385","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141385_2021-03-20_00-50-30.mp4"
"D81141414","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141414_2021-03-18_23-56-02.mp4"
"D81141418","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141418_2021-03-18_23-59-40.mp4"
"D81141419","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141419_2021-03-20_00-04-37.mp4"
"D81141420","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141420_2021-03-20_00-00-05.mp4"
"D81141425","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141425_2021-03-20_00-24-20.mp4"
"D81141426","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141426_2021-03-20_02-23-46.mp4"
"D81141428","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141428_2021-03-19_02-30-09.mp4"
"D81141431","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141431_2021-03-18_23-40-41.mp4"
"D81141432","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141432_2021-03-20_00-01-48.mp4"
"D81141436","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141436_2021-03-19_00-59-31.mp4"
"D81141438","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141438_2021-03-19_08-34-11.mp4"
"D81141439","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141439_2021-03-20_01-44-25.mp4"
"D81141446","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141446_2021-03-19_04-55-24.mp4"
"D81141461","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141461_2021-03-20_00-24-50.mp4"
"D81141462","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141462_2021-03-20_11-18-40.mp4"
"D81141464","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141464_2021-03-20_00-55-26.mp4"
"D81141484","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141484_2021-03-19_10-05-57.mp4"
"D81141487","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141487_2021-03-19_04-50-58.mp4"
"D81141490","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141490_2021-03-20_00-23-05.mp4"
"D81141494","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141494_2021-03-20_07-55-23.mp4"
"D81141497","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141497_2021-03-20_00-26-11.mp4"
"D81141498","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141498_2021-03-20_01-13-40.mp4"
"D81141501","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141501_2021-03-20_00-14-44.mp4"
"D81141503","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141503_2021-03-19_22-37-12.mp4"
"D81141514","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141514_2021-03-19_00-43-01.mp4"
"D81141530","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141530_2021-03-20_10-11-12.mp4"
"D81141533","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141533_2021-03-19_23-28-23.mp4"
"D81141543","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141543_2021-03-19_08-10-11.mp4"
"D81141546","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141546_2021-03-19_09-24-49.mp4"
"D81141547","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141547_2021-03-19_00-09-19.mp4"
"D81141548","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141548_2021-03-19_02-14-00.mp4"
"D81141551","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141551_2021-03-20_00-31-56.mp4"
"D81141558","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141558_2021-03-19_21-28-02.mp4"
"D81141560","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141560_2021-03-19_08-18-23.mp4"
"D81141561","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141561_2021-03-20_09-38-37.mp4"
"D81141564","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141564_2021-03-20_04-48-01.mp4"
"D81141565","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141565_2021-03-20_00-09-39.mp4"
"D81141568","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141568_2021-03-19_03-55-37.mp4"
"D81141569","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141569_2021-03-20_07-53-09.mp4"
"D81141570","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141570_2021-03-18_23-58-22.mp4"
"D81141572","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141572_2021-03-20_00-01-25.mp4"
"D81141574","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141574_2021-03-20_00-23-20.mp4"
"D81141577","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141577_2021-03-19_00-15-49.mp4"
"D81141580","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141580_2021-03-20_05-02-39.mp4"
"D81141581","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141581_2021-03-19_23-55-54.mp4"
"D81141582","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141582_2021-03-19_05-02-06.mp4"
"D81141583","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141583_2021-03-20_12-10-35.mp4"
"D81141584","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141584_2021-03-20_01-31-30.mp4"
"D81141585","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141585_2021-03-19_19-18-36.mp4"
"D81141591","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141591_2021-03-19_05-26-22.mp4"
"D81141614","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141614_2021-03-19_23-59-45.mp4"
"D81141615","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141615_2021-03-20_00-04-24.mp4"
"D81141619","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141619_2021-03-19_07-39-41.mp4"
"D81141624","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141624_2021-03-19_23-37-20.mp4"
"D81141625","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141625_2021-03-20_04-17-43.mp4"
"D81141627","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141627_2021-03-20_04-01-08.mp4"
"D81141636","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141636_2021-03-20_05-53-11.mp4"
"D81141638","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141638_2021-03-20_01-36-04.mp4"
"D81141642","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141642_2021-03-19_22-32-17.mp4"
"D81141649","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141649_2021-03-19_00-58-54.mp4"
"D81141650","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141650_2021-03-20_06-54-55.mp4"
"D81141657","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141657_2021-03-20_01-44-15.mp4"
"D81141658","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141658_2021-03-20_04-51-09.mp4"
"D81141660","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141660_2021-03-20_00-05-41.mp4"
"D81141664","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141664_2021-03-20_00-38-56.mp4"
"D81141665","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141665_2021-03-19_23-49-51.mp4"
"D81141676","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141676_2021-03-19_00-51-42.mp4"
"D81141685","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141685_2021-03-20_01-00-32.mp4"
"D81141694","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141694_2021-03-20_01-00-43.mp4"
"D81141696","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81141696_2021-03-20_09-54-46.mp4"
